ANO4,TRIMESTRE,PROVINCIA,label_provincia,total_ocupados,total_desocupados,pea,pob_10_mas,tasa_actividad,tasa_empleo,tasa_desempleo
2023,2,La Pampa,La Pampa,59098,3689,62787,131141,0.4787747538908503,0.45064472590570454,0.05875420071033813
2023,2,La Rioja,La Rioja,103039,4446,107485,232491,0.4623189714870683,0.4431956505843237,0.041363911243429315
2023,2,Mendoza,Mendoza,484411,27279,511690,1048054,0.4882286599736273,0.46220042097067515,0.05331157536789853
2023,2,Misiones,Misiones,181855,7481,189336,384592,0.4923035320547489,0.4728517493863627,0.039511767439895214
2023,2,Neuquén,Neuquén,142504,8383,150887,318663,0.4735002180987438,0.44719343004992734,0.05555813290740753
2023,2,Río Negro,Río Negro,34047,377,34424,85029,0.4048501099624834,0.4004163285467311,0.01095166163141994
2023,2,Salta,Salta,285177,14946,300123,657772,0.45627208211964027,0.43354992307364865,0.04979958217130976
2023,2,San Juan,San Juan,236255,5718,241973,549511,0.4403424135276637,0.42993679835344517,0.023630735660590232
2023,2,San Luis,San Luis,110431,2587,113018,245933,0.4595479256545482,0.4490288005269728,0.022890159089702527
2023,2,Santa Cruz,Santa Cruz,58155,2073,60228,128857,0.46740184856080774,0.45131424757677113,0.03441920701334927
2023,2,Santa Fe,Santa Fe,873569,56092,929661,1890888,0.4916531280541206,0.46198875872077033,0.06033597192955282
2023,2,Santiago del Estero,Santiago del Estero,181696,2911,184607,412526,0.4475039149047575,0.440447389982692,0.015768632825407487
2023,2,Tierra del Fuego,Tierra del Fuego,83648,2926,86574,174893,0.49501123544109826,0.4782810061008731,0.03379767597662116
2023,2,Tucumán,Tucumán,401139,28345,429484,917332,0.4681881805060763,0.43728878966393847,0.06599780201357909
2023,1,Buenos Aires,Buenos Aires,6549608,572563,7122171,14899297,0.47802060728100126,0.43959174718109184,0.08039163901007151
2023,1,Catamarca,Catamarca,100241,5204,105445,229304,0.45984806196141365,0.43715329867773783,0.04935274313623216
2023,1,Chaco,Chaco,175739,7929,183668,421184,0.43607544446132807,0.41724994301777846,0.043170285515168674
2023,1,Chubut,Chubut,169412,6886,176298,398084,0.4428663297193557,0.425568472985601,0.03905886623784728
2023,1,Ciudad Autónoma de Buenos Aires,CABA,1549169,87742,1636911,3004513,0.54481741300503606,0.5156140113223008,0.0536021811815059
2023,1,Corrientes,Corrientes,170011,10952,180963,387680,0.4667844614114734,0.4385343582335947,0.06052065891922658
2023,1,Córdoba,Córdoba,799104,71452,870556,1769524,0.49197185231734636,0.4515926316907824,0.08207628228396564
2023,1,Entre Ríos,Entre Ríos,188727,11899,200626,448285,0.447541184737388,0.420997802737098,0.059309361697885615
2023,1,Formosa,Formosa,102224,1820,104044,259610,0.4007703863487539,0.39375987057509343,0.01749259928491792
2023,1,Jujuy,Jujuy,154854,10090,164944,355437,0.4640597349178617,0.4356721444306586,0.06117227665146959
2023,1,La Pampa,La Pampa,59428,3350,62778,130855,0.47975239769210193,0.45415154178288947,0.0533626429640957
2023,1,La Rioja,La Rioja,101067,4741,105808,231644,0.45676987100896205,0.43630312030529605,0.044807575986692876
2023,1,Mendoza,Mendoza,489781,28954,518735,1046171,0.49584150201066557,0.46816533817129324,0.05581655373167417
2023,1,Misiones,Misiones,176540,8720,185260,383543,0.48302276407078215,0.4602873732541071,0.047068984130411315
2023,1,Neuquén,Neuquén,146691,9259,155950,317782,0.49074522786060887,0.4616089016999075,0.05937159345944213
2023,1,Río Negro,Río Negro,32804,89,32893,84835,0.3877291212353392,0.38668002593269285,0.0027057428632231784
2023,1,Salta,Salta,286921,20314,307235,656000,0.46834603658536583,0.43737957317073173,0.06611876902045666
2023,1,San Juan,San Juan,253416,7710,261126,548345,0.4762074971049248,0.462147005990754,0.02952597596562579
2023,1,San Luis,San Luis,110851,3123,113974,245098,0.4650139944022391,0.4522721523635444,0.02740098618983277
2023,1,Santa Cruz,Santa Cruz,58077,1571,59648,128303,0.4648994957249636,0.4526550431400669,0.026337848712446352
2023,1,Santa Fe,Santa Fe,857467,72093,929560,1887965,0.49236082236694007,0.45417526278294357,0.07755604802272043
2023,1,Santiago del Estero,Santiago del Estero,185056,1828,186884,411689,0.4539446038150157,0.44950435887283846,0.009781468718563387
2023,1,Tierra del Fuego,Tierra del Fuego,83940,2946,86886,174057,0.49918130267670935,0.4822558127509954,0.033906498170015884
2023,1,Tucumán,Tucumán,390233,22552,412785,915950,0.4506632458103608,0.4260418145095256,0.05463376818440593
2022,4,Buenos Aires,Buenos Aires,6437217,537825,6975042,14858216,0.46944007275166816,0.43324292768391576,0.07710706258112854
2022,4,Catamarca,Catamarca,96442,4394,100836,228736,0.4408400951315053,0.42163017627308336,0.04357570708873815
2022,4,Chaco,Chaco,171066,7328,178394,420553,0.42418910339481586,0.40676442683799663,0.04107761471798379
2022,4,Chubut,Chubut,164501,4579,169080,396508,0.42642266990829947,0.4148743531025856,0.02708185474331677
2022,4,Ciudad Autónoma de Buenos Aires,CABA,1577112,64705,1641817,3004202,0.5465068593922778,0.5249686938494815,0.03941060422690227
2022,4,Corrientes,Corrientes,164512,7381,171893,386962,0.4442115763304924,0.4251373519880505,0.04293950306295195
2022,4,Córdoba,Córdoba,819629,54448,874077,1766902,0.4946946689742838,0.4638791511923129,0.06229199487001717
2022,4,Entre Ríos,Entre Ríos,182958,7597,190555,447656,0.42567283807209105,0.40870221777436244,0.039867754716486056
2022,4,Formosa,Formosa,93225,2486,95711,259030,0.369497741574335,0.35990039763733933,0.025974025974025976
2022,4,Jujuy,Jujuy,157257,10155,167412,354643,0.47205781588809026,0.4434233863349904,0.0606587341409218
2022,4,La Pampa,La Pampa,57173,4279,61452,130531,0.47078471780649805,0.43800323294849497,0.0696315823732344
2022,4,La Rioja,La Rioja,102321,4530,106851,230687,0.46318604862866136,0.4435490513119508,0.04239548530196255
2022,4,Mendoza,Mendoza,512911,23263,536174,1044183,0.5134866206402517,0.491207958758187,0.04338703480586526
2022,4,Misiones,Misiones,172340,5505,177845,382442,0.465024761924684,0.4506304223908462,0.030953920548792487
2022,4,Neuquén,Neuquén,135119,8521,143640,316804,0.45340336611911464,0.42650660976502824,0.05932191590086327
2022,4,Río Negro,Río Negro,35188,790,35978,84587,0.4253372267606133,0.4159977301476586,0.02195786313858469
2022,4,Salta,Salta,286917,18521,305438,654137,0.46693276790641713,0.4386191271858953,0.060637510722306984
2022,4,San Juan,San Juan,233173,6954,240127,547161,0.43885986026050833,0.4261506211151745,0.028959675505045246
2022,4,San Luis,San Luis,108158,2606,110764,244272,0.45344533962140565,0.442776904434401,0.023527499909717958
2022,4,Santa Cruz,Santa Cruz,56299,4839,61138,127731,0.47864653059946294,0.440762226867401,0.07914881088684615
2022,4,Santa Fe,Santa Fe,854462,59216,913678,1884962,0.48471958585902525,0.4533046289527322,0.06481057878158389
2022,4,Santiago del Estero,Santiago del Estero,177573,2879,180452,410798,0.43927185624078013,0.4322635455868821,0.015954381220490768
2022,4,Tierra del Fuego,Tierra del Fuego,81359,3362,84721,173207,0.48913150161367613,0.4697212006443158,0.03968319542970456
