ANO4,TRIMESTRE,AGLOMERADO,gini,p90,p10,ratio_p90_p10
2020,3er Trimestre,Gran San Juan,0.7735725263181052,1389357,8000,173.669625
2020,3er Trimestre,Gran Tucuman - T. Viejo,0.798014511203796,1128571,6972,161.87191623637406
2020,3er Trimestre,Santa Rosa - Toay,0.8667297328939227,1026667,6500,157.94876923076924
2020,3er Trimestre,Ciudad de Buenos Aires,0.8264616486134528,1423333,11725.000000000002,121.39300639658846
2020,3er Trimestre,Partidos del GBA,0.8567570039723194,833333,4375,190.4761142857143
2020,3er Trimestre,Mar del Plata - Batan,0.8299997527649694,1521333.0000000075,10400,146.28201923076995
2020,3er Trimestre,Rio Cuarto,0.8277754861544935,1633333,7000,233.33328571428572
2020,3er Trimestre,San Nicolas - Villa Constitucion,0.8674661247047197,1166667,7000,166.66671428571428
2020,3er Trimestre,Rawson - Trelew,0.8198333598488574,1833333,9000,203.70366666666666
2020,3er Trimestre,Viedma - Carmen de Patagones.,0.8476989226563703,1133333,7975.000000000002,142.11072100313476
2020,2do Trimestre,Gran La Plata,0.4623556507469857,41666.67,4142.86,10.057465132782667
2020,2do Trimestre,Bahia Blanca - Cerri,0.3982849056598923,38700,5240,7.385496183206107
2020,2do Trimestre,Gran Rosario,0.44060873280108126,35000,3583.33,9.767450946465997
2020,2do Trimestre,Gran Santa Fe,0.4079339538482145,25446.000000000022,3800,6.69631578947369
2020,2do Trimestre,Gran Parana,0.37891964828506275,29199.99800000001,4600,6.347825652173915
2020,2do Trimestre,Posadas,0.41074699823863625,30000,4450,6.741573033707865
2020,2do Trimestre,Gran Resistencia,0.3963178814793764,20000,2100,9.523809523809524
2020,2do Trimestre,Cdro. Rivadavia - R.Tilly,0.3783345651534944,37666.67,6666.67,5.6499976750011625
2020,2do Trimestre,Gran Mendoza,0.3982260002493945,27550.00000000007,4500,6.122222222222238
2020,2do Trimestre,Corrientes,0.3830268328909199,25613.335999999967,4200,6.098413333333325
2020,2do Trimestre,Gran Cordoba,0.4083215873740187,32500,4977.78,6.529014942404044
2020,2do Trimestre,Concordia,0.3477404756712019,20000,3615.38,5.53192195564505
2020,2do Trimestre,Formosa,0.38597360267772274,22200,4100,5.414634146341464
2020,2do Trimestre,Neuquen - Plottier,0.4505646830207013,43500,5633.33,7.72189806029471
2020,2do Trimestre,S. del Estero - La Banda,0.34877618048204795,21000,4600,4.565217391304348
2020,2do Trimestre,Jujuy - Palpala,0.34311874844877366,23750,5000,4.75
2020,2do Trimestre,Rio Gallegos,0.39838782891536084,43333.33,7245.000000000001,5.981135955831608
2020,2do Trimestre,Gran Catamarca,0.35576569361921884,24933.333999999988,4500,5.5407408888888865
2020,2do Trimestre,Salta,0.440121202291607,26250,3560,7.373595505617978
2020,2do Trimestre,La Rioja,0.2951575459584319,23300,5920,3.935810810810811
2020,2do Trimestre,San Luis - El Chorrillo,0.36300326596997934,26666.67,4020.000000000002,6.633499999999996
2020,2do Trimestre,Gran San Juan,0.4235946000270019,25920.000000000004,4950,5.236363636363637
2020,2do Trimestre,Gran Tucuman - T. Viejo,0.42879347335244233,34666.67,4533.33,7.647065181665575
2020,2do Trimestre,Santa Rosa - Toay,0.4660006268140222,46350.00000000005,4925,9.411167512690366
2020,2do Trimestre,Ushuaia - Rio Grande,0.3927823073769048,40000,3916.67,10.212757265738498
2020,2do Trimestre,Ciudad de Buenos Aires,0.44898580175066627,60125,7500,8.016666666666667
2020,2do Trimestre,Partidos del GBA,0.4380361064306726,27500,3250,8.461538461538462
2020,2do Trimestre,Mar del Plata - Batan,0.4198083992344692,32600,3900,8.35897435897436
2020,2do Trimestre,Rio Cuarto,0.41252748369868186,33333.33,3750,8.888888
2020,2do Trimestre,San Nicolas - Villa Constitucion,0.4053057893787866,28950,3250,8.907692307692308
2020,2do Trimestre,Rawson - Trelew,0.43224319127349986,45000,6000,7.5
2020,2do Trimestre,Viedma - Carmen de Patagones.,0.391785473870911,35000,6000,5.833333333333333
2020,1er Trimestre,Gran La Plata,0.4601105586581582,42800.000000000065,3576.000000000001,11.968680089485474
2020,1er Trimestre,Bahia Blanca - Cerri,0.39532889288118156,47490.00000000001,6000,7.915000000000001
2020,1er Trimestre,Gran Rosario,0.41070693827651894,38000,4000,9.5
2020,1er Trimestre,Gran Santa Fe,0.417555256176513,35000,4100,8.536585365853659
2020,1er Trimestre,Gran Parana,0.3603467625341068,35750,6225,5.742971887550201
2020,1er Trimestre,Posadas,0.3920931624986679,28726.67,4750,6.04772
2020,1er Trimestre,Gran Resistencia,0.44645786565808976,30000,2800,10.714285714285714
2020,1er Trimestre,Cdro. Rivadavia - R.Tilly,0.402356999016348,50000,7600,6.578947368421052
2020,1er Trimestre,Gran Mendoza,0.4596543453152435,36250,4555.56,7.957309309942136
2020,1er Trimestre,Corrientes,0.45584529666192,30000,3308.3330000000005,9.06801098922025
2020,1er Trimestre,Gran Cordoba,0.43711451449689775,38000,4575,8.306010928961749
2020,1er Trimestre,Concordia,0.4251298344896952,30833.33,3914.29,7.877119477606412
2020,1er Trimestre,Formosa,0.37313506172711186,25625.069000000003,4571.43,5.605482092036847
